"id","startHour","startMinute","endHour","endMinute","date_millis","created","booking_title","booking_description"
"1","12","0","16","0","1761177600504","2025-10-08 16:10:38",NULL,NULL
"2","21","0","17","0","1761696000081","2025-10-08 16:33:43",NULL,NULL
"5","4","32","4","29","1761782400483","2025-10-08 18:24:56",NULL,NULL
"11","2","0","12","22","1761264000762","2025-10-08 20:00:03",NULL,NULL
"id","encryptedValue","created"
"1","ej","2025-10-09 03:39:51"
"2","ej","2025-10-09 03:39:54"
"3","d","2025-10-09 03:41:44"
"4","hej","2025-10-09 03:51:59"
"5","gXlMFJbdtcGhP8YoPhkHexGj9zHSdbObZlufy4Mylg==","2025-10-12 19:09:59"
"6","YLs+mX4gtLO1W+c2kkkOP8unYblulzG5wOjTzdwE6K0=","2025-10-12 19:10:50"
"id","projectName","description","created","request_rule"
"1","Lord of the Rings","Film trilogy project","2025-10-08 15:13:09","MANUAL"
"3","ddd","dd","2025-10-09 03:46:30","MANUAL"
"4","dd","dd","2025-10-09 03:50:14","MANUAL"
"5","Alexanders Film","Coolt","2025-10-09 05:20:01","MANUAL"
"10","cd","dd","2025-10-09 07:31:34","MANUAL"
"12","xdxx","xxxx","2025-10-09 07:55:40","MANUAL"
"13","ynyf","sdsd","2025-10-09 08:31:49","MANUAL"
"15","ssss","sss","2025-10-09 09:05:46","MANUAL"
"16","zzxc","dccdd","2025-10-09 09:20:20","MANUAL"
"17","ZccczcxczxcS","ss","2025-10-09 09:41:46","MANUAL"
"id","username","password","email","publicKey","secretKey","first_name","last_name","role","work_role","roles","film_role"
"96","tomcruise","11111111",NULL,NULL,NULL,"Tom","Cruise",NULL,NULL,NULL,NULL
"97","bradpitt","11111111",NULL,NULL,NULL,"Brad","Pitt",NULL,NULL,NULL,NULL
"98","leodicaprio","11111111",NULL,NULL,NULL,"Leonardo","DiCaprio",NULL,NULL,NULL,NULL
"99","margotrobb","11111111",NULL,NULL,NULL,"Margot","Robbie",NULL,NULL,NULL,NULL
"100","mattdamon","11111111",NULL,NULL,NULL,"Matt","Damon",NULL,NULL,NULL,NULL
"101","benaffleck","11111111",NULL,NULL,NULL,"Ben","Affleck",NULL,NULL,NULL,NULL
"102","jlawrence","11111111",NULL,NULL,NULL,"Jennifer","Lawrence",NULL,NULL,NULL,NULL
"103","angelinaj","11111111",NULL,NULL,NULL,"Angelina","Jolie",NULL,NULL,NULL,NULL
"104","scarlettj","11111111",NULL,NULL,NULL,"Scarlett","Johansson",NULL,NULL,NULL,NULL
"105","chrishemsw","11111111",NULL,NULL,NULL,"Chris","Hemsworth",NULL,NULL,NULL,NULL
"106","chrispratt","11111111",NULL,NULL,NULL,"Chris","Pratt",NULL,NULL,NULL,NULL
"107","chrisevans","11111111",NULL,NULL,NULL,"Chris","Evans",NULL,NULL,NULL,NULL
"108","rdowneyjr","11111111",NULL,NULL,NULL,"Robert","DowneyJr",NULL,NULL,NULL,NULL
"109","markruffalo","11111111",NULL,NULL,NULL,"Mark","Ruffalo",NULL,NULL,NULL,NULL
"110","tomholland","11111111",NULL,NULL,NULL,"Tom","Holland",NULL,NULL,NULL,NULL
"111","zendaya","11111111",NULL,NULL,NULL,"Zendaya","Coleman",NULL,NULL,NULL,NULL
"112","natalieport","11111111",NULL,NULL,NULL,"Natalie","Portman",NULL,NULL,NULL,NULL
"113","keanureeves","11111111",NULL,NULL,NULL,"Keanu","Reeves",NULL,NULL,NULL,NULL
"114","winonaryder","11111111",NULL,NULL,NULL,"Winona","Ryder",NULL,NULL,NULL,NULL
"115","samuelljack","11111111",NULL,NULL,NULL,"Samuel","Jackson",NULL,NULL,NULL,NULL
"116","morganfreem","11111111",NULL,NULL,NULL,"Morgan","Freeman",NULL,NULL,NULL,NULL
"117","denzelwash","11111111",NULL,NULL,NULL,"Denzel","Washington",NULL,NULL,NULL,NULL
"118","tomhanks","11111111",NULL,NULL,NULL,"Tom","Hanks",NULL,NULL,NULL,NULL
"119","emmastonex","11111111",NULL,NULL,NULL,"Emma","Stone",NULL,NULL,NULL,NULL
"120","ryangosling","11111111",NULL,NULL,NULL,"Ryan","Gosling",NULL,NULL,NULL,NULL
"121","ryanreynolds","11111111",NULL,NULL,NULL,"Ryan","Reynolds",NULL,NULL,NULL,NULL
"122","sandrabull","11111111",NULL,NULL,NULL,"Sandra","Bullock",NULL,NULL,NULL,NULL
"123","georgecloon","11111111",NULL,NULL,NULL,"George","Clooney",NULL,NULL,NULL,NULL
"124","brucewillis","11111111",NULL,NULL,NULL,"Bruce","Willis",NULL,NULL,NULL,NULL
"125","nicholascage","11111111",NULL,NULL,NULL,"Nicolas","Cage",NULL,NULL,NULL,NULL
"126","johntravolt","11111111",NULL,NULL,NULL,"John","Travolta",NULL,NULL,NULL,NULL
"127","umathurman","11111111",NULL,NULL,NULL,"Uma","Thurman",NULL,NULL,NULL,NULL
"128","harrisonf","11111111",NULL,NULL,NULL,"Harrison","Ford",NULL,NULL,NULL,NULL
"129","carriefishe","11111111",NULL,NULL,NULL,"Carrie","Fisher",NULL,NULL,NULL,NULL
"130","markhamill","11111111",NULL,NULL,NULL,"Mark","Hamill",NULL,NULL,NULL,NULL
"131","daisyridley","11111111",NULL,NULL,NULL,"Daisy","Ridley",NULL,NULL,NULL,NULL
"132","adamdriver","11111111",NULL,NULL,NULL,"Adam","Driver",NULL,NULL,NULL,NULL
"133","oscarisaac","11111111",NULL,NULL,NULL,"Oscar","Isaac",NULL,NULL,NULL,NULL
"134","pedropascal","11111111",NULL,NULL,NULL,"Pedro","Pascal",NULL,NULL,NULL,NULL
"135","bellaramsey","11111111",NULL,NULL,NULL,"Bella","Ramsey",NULL,NULL,NULL,NULL
"136","christianb","11111111",NULL,NULL,NULL,"Christian","Bale",NULL,NULL,NULL,NULL
"137","heathledger","11111111",NULL,NULL,NULL,"Heath","Ledger",NULL,NULL,NULL,NULL
"138","joaquinpho","11111111",NULL,NULL,NULL,"Joaquin","Phoenix",NULL,NULL,NULL,NULL
"139","robertpatts","11111111",NULL,NULL,NULL,"Robert","Pattinson",NULL,NULL,NULL,NULL
"140","kristenstew","11111111",NULL,NULL,NULL,"Kristen","Stewart",NULL,NULL,NULL,NULL
"141","annehathaway","11111111",NULL,NULL,NULL,"Anne","Hathaway",NULL,NULL,NULL,NULL
"142","merylstreep","11111111",NULL,NULL,NULL,"Meryl","Streep",NULL,NULL,NULL,NULL
"143","amyadams","11111111",NULL,NULL,NULL,"Amy","Adams",NULL,NULL,NULL,NULL
"144","juliaroberts","11111111",NULL,NULL,NULL,"Julia","Roberts",NULL,NULL,NULL,NULL
"145","nicolekidman","11111111",NULL,NULL,NULL,"Nicole","Kidman",NULL,NULL,NULL,NULL
"146","charlizether","11111111",NULL,NULL,NULL,"Charlize","Theron",NULL,NULL,NULL,NULL
"147","galgadot","11111111",NULL,NULL,NULL,"Gal","Gadot",NULL,NULL,NULL,NULL
"148","henrycavill","11111111",NULL,NULL,NULL,"Henry","Cavill",NULL,NULL,NULL,NULL
"149","jasonmomoa","11111111",NULL,NULL,NULL,"Jason","Momoa",NULL,NULL,NULL,NULL
"150","dwaynejohns","11111111",NULL,NULL,NULL,"Dwayne","Johnson",NULL,NULL,NULL,NULL
